id;content;status;created_at;updated_at;deleted_at
1;Home Gloves Latvia;69189;2019-12-04T00:49:31;2019-12-03T19:56:26;2019-12-03T11:43:15
2;Fish;1807;2019-12-04T05:53:37;2019-12-03T23:44:03;2019-12-04T03:46:41
3;navigate;64963;2019-12-03T17:43:39;2019-12-03T15:12:23;2019-12-03T18:17:06
4;local area network Benin;50881;2019-12-04T02:45:44;2019-12-03T20:18:56;2019-12-04T05:13:22
5;Persevering;97301;2019-12-03T12:05:39;2019-12-04T02:09:11;2019-12-03T23:54:21
6;Investor users dot-com;64510;2019-12-03T21:44:31;2019-12-03T19:32:00;2019-12-03T23:46:02
7;white sensor local;2431;2019-12-03T17:08:32;2019-12-03T20:05:47;2019-12-04T10:32:27
8;Representative;46994;2019-12-03T12:41:36;2019-12-04T04:52:41;2019-12-03T13:37:51
9;out-of-the-box Automotive Tactics;42818;2019-12-03T22:19:16;2019-12-03T12:23:17;2019-12-03T21:51:09
10;Facilitator Incredible functionalities;19091;2019-12-03T15:09:37;2019-12-04T05:08:39;2019-12-04T03:58:53
