id;tasker_profit;master_profit;total_profit;created_at;updated_at;deleted_at
1;60754;68030;17052;2019-12-07T05:23:59;2019-12-07T14:39:02;2019-12-07T15:53:36
2;94888;94220;96563;2019-12-07T02:41:35;2019-12-06T20:48:37;2019-12-07T06:57:42
3;30461;1596;9767;2019-12-07T10:40:13;2019-12-06T23:47:25;2019-12-07T10:25:38
4;44015;68326;12203;2019-12-07T01:34:19;2019-12-07T04:19:39;2019-12-06T20:12:55
5;3438;17336;90932;2019-12-07T06:49:35;2019-12-07T10:00:04;2019-12-07T11:50:17
6;66252;75536;31171;2019-12-07T06:00:29;2019-12-07T03:43:49;2019-12-07T11:13:16
7;54671;56770;18485;2019-12-07T15:27:37;2019-12-06T16:56:31;2019-12-06T19:59:50
8;77513;44975;93949;2019-12-07T06:43:41;2019-12-06T18:44:10;2019-12-06T17:58:20
9;59789;72727;92187;2019-12-07T08:22:29;2019-12-07T14:05:16;2019-12-07T02:31:16
10;19598;52083;4522;2019-12-06T17:08:38;2019-12-07T08:24:14;2019-12-06T19:56:35
