id;amount;type;status;created_at;updated_at;deleted_at
1;37454;79654;95071;2019-12-07T11:48:33;2019-12-06T22:38:38;2019-12-06T21:29:57
2;59865;59685;15601;2019-12-07T05:30:42;2019-12-07T12:28:04;2019-12-07T13:48:44
3;5808;45924;86617;2019-12-07T08:12:10;2019-12-07T01:47:06;2019-12-07T12:46:58
4;70807;65088;2058;2019-12-07T14:51:28;2019-12-06T16:56:03;2019-12-06T22:53:02
5;83244;93855;21233;2019-12-07T16:11:35;2019-12-07T11:50:52;2019-12-06T16:23:56
6;18340;61748;30424;2019-12-07T01:31:56;2019-12-07T03:37:04;2019-12-07T16:02:31
7;43194;2306;29122;2019-12-07T03:37:02;2019-12-07T01:31:38;2019-12-07T06:36:54
8;13949;4666;29214;2019-12-06T16:50:30;2019-12-07T07:25:09;2019-12-07T10:37:31
9;45606;9060;78517;2019-12-07T01:22:14;2019-12-07T11:25:10;2019-12-07T07:01:58
10;51423;98323;59241;2019-12-07T05:00:34;2019-12-07T15:05:49;2019-12-06T19:34:24
