id;status;created_at;updated_at;deleted_at
1;67213;2019-11-30T06:29:55;2019-11-29T14:09:37;2019-11-29T23:34:03
2;23763;2019-11-30T02:37:38;2019-11-29T14:57:43;2019-11-29T13:09:50
3;36778;2019-11-29T21:09:07;2019-11-29T17:15:50;2019-11-29T08:50:14
4;63352;2019-11-29T22:52:02;2019-11-29T19:34:50;2019-11-29T12:50:42
5;9028;2019-11-29T13:16:44;2019-11-29T12:23:31;2019-11-30T04:49:19
6;32078;2019-11-29T20:14:33;2019-11-30T03:57:45;2019-11-29T15:44:23
7;4077;2019-11-29T11:50:19;2019-11-29T18:15:28;2019-11-30T00:36:58
8;67756;2019-11-30T03:09:12;2019-11-30T08:02:27;2019-11-29T15:22:18
9;51209;2019-11-29T13:00:40;2019-11-30T03:00:11;2019-11-30T00:04:16
10;64517;2019-11-30T06:07:51;2019-11-30T04:15:15;2019-11-29T09:52:00
