id;body;status;created_at;updated_at;deleted_at
1;bandwidth Buckinghamshire;37798;2019-11-13T23:34:55;2019-11-13T20:03:42;2019-11-14T02:48:08
2;National;11119;2019-11-14T02:33:24;2019-11-14T01:09:38;2019-11-14T06:53:42
3;grow;57147;2019-11-14T11:37:56;2019-11-13T19:12:01;2019-11-14T10:07:55
4;Fresh payment synthesize;58336;2019-11-14T07:17:00;2019-11-13T13:53:30;2019-11-14T03:22:41
5;Glen Refined;52837;2019-11-14T07:37:02;2019-11-14T02:30:41;2019-11-13T13:51:59
6;Industrial Designer Incredible Fresh Car;52770;2019-11-13T14:47:32;2019-11-13T13:09:09;2019-11-13T14:55:30
7;Optional;69541;2019-11-13T13:43:13;2019-11-14T11:10:23;2019-11-14T00:25:45
8;Savings Account;69574;2019-11-14T05:54:56;2019-11-14T02:04:28;2019-11-13T13:05:01
9;Naira iterate;73710;2019-11-14T11:53:34;2019-11-13T15:01:03;2019-11-14T06:14:25
10;Brand Regional Court;62013;2019-11-14T04:55:40;2019-11-14T06:19:35;2019-11-14T08:54:40
