id;content;status;created_at;updated_at;deleted_at
1;Pakistan Rupee;18006;2019-11-28;2019-11-27;2019-11-27
2;Human Mission;66755;2019-11-27;2019-11-28;2019-11-27
3;Automated;82179;2019-11-28;2019-11-27;2019-11-28
4;Chair Awesome;12063;2019-11-27;2019-11-27;2019-11-27
5;Regional;12874;2019-11-27;2019-11-27;2019-11-27
6;Ergonomic Soft Shoes;62790;2019-11-27;2019-11-28;2019-11-27
7;Sausages streamline Home;86830;2019-11-27;2019-11-28;2019-11-27
8;Chips sky blue;37047;2019-11-27;2019-11-27;2019-11-28
9;navigate Kiribati;72051;2019-11-27;2019-11-28;2019-11-28
10;Customer-focused;71334;2019-11-27;2019-11-27;2019-11-27
