id;balance;created_at;updated_at;deleted_at
1;37454;2019-11-29T13:19:20;2019-11-29T09:37:19;2019-11-30T04:02:12
2;73199;2019-11-29T13:43:36;2019-11-29T18:04:17;2019-11-29T18:06:53
3;15601;2019-11-29T21:44:21;2019-11-30T04:41:42;2019-11-30T06:02:22
4;5808;2019-11-29T21:25:01;2019-11-29T11:39:03;2019-11-30T00:25:48
5;60111;2019-11-30T05:00:37;2019-11-29T15:26:43;2019-11-29T16:49:04
6;2058;2019-11-30T07:05:06;2019-11-29T09:09:41;2019-11-29T15:06:40
7;83244;2019-11-29T09:54:50;2019-11-30T03:20:34;2019-11-30T08:25:13
8;18182;2019-11-29T08:37:34;2019-11-30T04:02:14;2019-11-29T17:37:10
9;30424;2019-11-29T17:45:34;2019-11-29T19:50:42;2019-11-30T08:16:10
10;43194;2019-11-30T07:53:08;2019-11-30T01:26:58;2019-11-29T19:50:40
