id;content;point;status;created_at;updated_at;deleted_at
1;navigate Kiribati;72051;74747;2019-11-30T06:56:35;2019-11-30T07:33:32;2019-11-30T04:53:36
2;Metal;68716;89520;2019-11-29T12:10:22;2019-11-29T20:09:33;2019-11-29T14:26:55
3;Music ADP;35414;53261;2019-11-29T22:54:26;2019-11-30T02:37:12;2019-11-30T05:55:20
4;interface;18228;2007;2019-11-29T18:54:15;2019-11-30T00:42:34;2019-11-29T12:15:44
5;Incredible;53533;11976;2019-11-30T02:50:31;2019-11-29T11:04:00;2019-11-30T00:12:32
6;Ranch impactful;64882;49844;2019-11-29T20:55:46;2019-11-30T06:21:11;2019-11-29T18:25:07
7;pixel Pennsylvania;58653;43165;2019-11-29T18:53:32;2019-11-30T05:22:38;2019-11-29T23:20:55
8;viral;89964;64591;2019-11-29T17:51:29;2019-11-29T18:44:26;2019-11-30T02:34:29
9;Cambridgeshire methodology;93369;23722;2019-11-30T08:15:30;2019-11-30T05:59:47;2019-11-30T03:01:52
10;24/7;48780;16068;2019-11-29T12:01:11;2019-11-30T03:57:42;2019-11-30T06:19:48
