id;name;status;created_at;updated_at;deleted_at
1;Small;9415;2019-11-12T12:00:43;2019-11-12T05:30:56;2019-11-11T16:27:31
2;Colombian Peso Unidad de Valor Real Bridge Handmade;49161;2019-11-11T17:37:25;2019-11-12T01:37:34;2019-11-12T04:40:41
3;Light;64977;2019-11-12T03:25:31;2019-11-12T11:50:09;2019-11-11T22:12:33
4;invoice Gorgeous Cotton Chair Personal Loan Account;50313;2019-11-12T00:57:52;2019-11-11T16:26:02;2019-11-12T00:02:40
5;Chilean Peso Unidades de fomento Checking Account;94389;2019-11-11T21:34:17;2019-11-11T14:19:39;2019-11-12T12:21:11
6;New York Data North Dakota;38816;2019-11-11T23:13:43;2019-11-11T21:33:02;2019-11-12T09:54:19
7;haptic parsing;62593;2019-11-12T03:43:23;2019-11-11T17:17:57;2019-11-11T13:55:16
8;Dynamic black;6936;2019-11-12T07:50:21;2019-11-12T10:34:14;2019-11-12T03:56:07
9;Ergonomic Rubber Chicken;33655;2019-11-12T11:16:51;2019-11-11T21:15:08;2019-11-12T05:20:02
10;quantifying Garden;81446;2019-11-12T06:43:58;2019-11-12T06:13:30;2019-11-12T01:05:04
