id;message_id;status;created_at;updated_at;deleted_at
1;Argentine Peso implementation;15504;2019-11-29T19:24:57;2019-11-29T08:52:30;2019-11-30T01:33:44
2;Utah Computers Small Fresh Gloves;36019;2019-11-29T19:32:57;2019-11-30T05:23:23;2019-11-30T00:35:58
3;synthesizing composite;96525;2019-11-29T17:29:23;2019-11-29T21:27:53;2019-11-30T06:23:27
4;Intelligent Granite Shirt Peru deposit;72609;2019-11-30T05:15:11;2019-11-29T09:01:08;2019-11-29T09:10:14
5;card Licensed Cotton Ball;43352;2019-11-29T21:54:14;2019-11-29T14:34:56;2019-11-30T06:33:22
6;Electronics;96264;2019-11-30T06:29:53;2019-11-29T12:22:33;2019-11-29T22:09:35
7;Som Rustic Frozen Keyboard ROI;23978;2019-11-29T19:15:28;2019-11-30T06:11:10;2019-11-29T15:17:20
8;invoice;27993;2019-11-29T17:07:15;2019-11-29T09:31:21;2019-11-29T20:02:19
9;payment e-markets system;4771;2019-11-30T02:29:37;2019-11-29T18:51:16;2019-11-29T23:53:45
10;hack;1439;2019-11-30T00:14:03;2019-11-30T05:39:12;2019-11-30T06:14:09
