id;jhi_from;jhi_to;duration
1;2019-11-30T07:20:06;2019-11-30T06:10:46;4072
2;2019-11-30T00:57:55;2019-11-29T11:54:30;97951
3;2019-11-29T15:33:05;2019-11-30T04:13:52;47417
4;2019-11-30T08:01:38;2019-11-30T06:05:28;76336
5;2019-11-29T20:38:26;2019-11-29T13:04:24;47347
6;2019-11-30T00:07:40;2019-11-30T04:16:56;46467
7;2019-11-29T22:01:36;2019-11-29T16:50:41;39850
8;2019-11-30T07:17:08;2019-11-29T17:39:32;94914
9;2019-11-29T17:11:49;2019-11-29T11:09:32;4530
10;2019-11-30T02:10:40;2019-11-29T23:26:54;1530
