id;level;experience;completed_task;incompleted_task;rating;ranking;bonus;created_at;updated_at;deleted_at
1;69093;39757;38673;51775;93672;83771;13752;2019-11-29T16:13:22;2019-11-30T00:15:13;2019-11-29T14:47:39
2;11347;20907;92469;54144;87733;69578;25794;2019-11-30T02:57:14;2019-11-29T16:35:58;2019-11-30T04:14:25
3;81722;98216;55520;51663;52965;26082;24185;2019-11-29T08:31:45;2019-11-30T06:12:16;2019-11-29T09:16:09
4;89721;55829;90041;88263;63310;18870;33902;2019-11-30T01:44:46;2019-11-30T00:03:29;2019-11-29T15:37:50
5;72595;84666;89711;85632;88708;40450;77987;2019-11-29T11:07:58;2019-11-29T17:01:50;2019-11-29T12:01:01
6;8413;93563;16162;78534;89855;66898;60642;2019-11-29T18:30:10;2019-11-30T08:13:06;2019-11-29T23:30:16
7;10147;94013;66350;97366;506;28392;16080;2019-11-30T01:06:37;2019-11-29T19:16:10;2019-11-29T20:47:04
8;69189;44842;65196;99445;22426;17592;71217;2019-11-30T08:00:19;2019-11-30T02:44:42;2019-11-29T20:35:09
9;32539;17882;74649;36646;64963;74417;84922;2019-11-29T15:08:12;2019-11-29T16:39:23;2019-11-30T01:02:44
10;56830;54254;9367;50881;36771;63633;26520;2019-11-30T02:25:41;2019-11-30T02:35:00;2019-11-29T18:16:56
