id;name;description;image;min_price;status;created_at;updated_at;deleted_at
1;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;Tuna Response invoice;51669;73789;2019-11-22;2019-11-23;2019-11-23
2;system Gorgeous Rubber Pants;hack;leading-edge;9179;4600;2019-11-23;2019-11-23;2019-11-23
3;Developer Shoes Music;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna;88668;4530;2019-11-23;2019-11-23;2019-11-23
4;Optimization Cambridgeshire;payment Soap;Web;94425;2651;2019-11-22;2019-11-22;2019-11-22
5;multi-byte Jamaican Dollar North Carolina;Station;parsing Investment Account;82042;96119;2019-11-22;2019-11-22;2019-11-23
6;analyzing;Fantastic;Ergonomic Rubber Chicken;33655;7118;2019-11-22;2019-11-23;2019-11-23
7;Armenian Dram wireless directional;Metal Rupiah;Accountability Handmade Cotton Bacon;96758;28203;2019-11-23;2019-11-23;2019-11-23
8;South Dakota Wyoming interface;incentivize;Louisiana JSON Texas;23859;42899;2019-11-22;2019-11-22;2019-11-22
9;Configurable iterate Liechtenstein;navigating encoding;Fantastic Small Frozen Salad bypassing;35490;31931;2019-11-22;2019-11-22;2019-11-22
10;Borders Borders Practical;methodical;Pakistan;21272;75237;2019-11-22;2019-11-22;2019-11-22
