id;price;status;created_at;updated_at;deleted_at
1;22210;69243;2019-11-23;2019-11-23;2019-11-23
2;24412;94290;2019-11-23;2019-11-23;2019-11-23
3;51879;55810;2019-11-22;2019-11-23;2019-11-23
4;6489;97178;2019-11-23;2019-11-22;2019-11-23
5;25178;69630;2019-11-23;2019-11-22;2019-11-23
6;14808;28484;2019-11-22;2019-11-23;2019-11-23
7;60956;97661;2019-11-23;2019-11-23;2019-11-23
8;3305;27864;2019-11-23;2019-11-22;2019-11-22
9;23956;68070;2019-11-23;2019-11-23;2019-11-23
10;44778;98565;2019-11-23;2019-11-23;2019-11-22
